epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,source_path
300,1060.81,1.91616,0.54824,0.9274,0.63371,0.41269,0.46773,0.18333,2.3363,0.63483,0.95595,0.000200049,0.000200049,0.000200049,D:\OBM\CODES\AutoSEG\runs\detect\train175\results.csv
214,566.16,5.33728,1.70612,0.68193,0.52808,0.39292,0.43565,0.16933,5.05878,1.54243,0.64685,0.0008083,0.0008083,0.0008083,D:\OBM\CODES\AutoSEG\runs\detect\train176\results.csv
18,77.0747,2.6462,0.63054,0.85326,0.34471,0.15628,0.17167,0.05187,2.74259,0.98969,0.81861,0.00103,0.00103,0.00103,D:\OBM\CODES\AutoSEG\runs\detect\train177\results.csv
26,151.316,3.01762,0.49277,0.59338,0.68275,0.50934,0.56609,0.24461,3.25299,0.51024,0.57288,0.00199519,0.00199519,0.00199519,D:\OBM\CODES\AutoSEG\runs\detect\train178\results.csv
107,565.309,3.64528,0.88771,2.24574,0.68882,0.48243,0.57309,0.26362,3.85689,1.02192,2.25224,0.00191546,0.00191546,0.00191546,D:\OBM\CODES\AutoSEG\runs\detect\train179\results.csv
63,248.188,2.68907,0.62479,1.12794,0.43466,0.18506,0.20959,0.06828,2.63676,0.61185,1.07525,0.00492634,0.00492634,0.00492634,D:\OBM\CODES\AutoSEG\runs\detect\train18\results.csv
600,1934.15,2.37702,0.61703,0.60523,0.49253,0.29997,0.33316,0.12808,2.44245,0.63947,0.58897,2.33e-05,2.33e-05,2.33e-05,D:\OBM\CODES\AutoSEG\runs\detect\train180\results.csv
600,1527.37,2.60201,1.61969,1.45956,0.35976,0.23627,0.22713,0.07,2.96871,1.80284,1.35734,1.00685e-06,1.00685e-06,1.00685e-06,D:\OBM\CODES\AutoSEG\runs\detect\train181\results.csv
20,90.7284,6.69132,0.85066,0.8966,0,0,0,0,0,0,0,0.026289,0.00578902,0.00578902,D:\OBM\CODES\AutoSEG\runs\detect\train182\results.csv
100,328.471,4.10165,0.72161,0.71515,0.45223,0.32194,0.33958,0.11499,4.65353,0.7952,0.68157,0.0001099,0.0001099,0.0001099,D:\OBM\CODES\AutoSEG\runs\detect\train183\results.csv
1000,61722,2.58028,0.64577,0.82102,0.81817,0.65976,0.74692,0.41459,2.27599,0.61882,0.82769,0.000100024,0.000100024,0.000100024,D:\OBM\CODES\AutoSEG\runs\detect\train184\results.csv
30,113.113,1.65621,1.07944,1.16026,0.61638,0.46014,0.48894,0.16994,2.04209,1.36382,1.159,0.0228474,0.000847413,0.000847413,D:\OBM\CODES\AutoSEG\runs\detect\train185\results.csv
100,242.018,5.19184,1.86525,1.06907,0.22827,0.16351,0.13403,0.03788,5.76846,2.18393,0.96536,0.00050111,0.00050111,0.00050111,D:\OBM\CODES\AutoSEG\runs\detect\train186\results.csv
300,839.719,3.77535,1.34144,0.85231,0.49122,0.20677,0.23641,0.08249,4.27541,1.46692,0.79774,1.02739e-05,1.02739e-05,1.02739e-05,D:\OBM\CODES\AutoSEG\runs\detect\train187\results.csv
100,706.119,3.20401,0.71062,0.57022,0.77161,0.57757,0.67615,0.35088,3.4018,0.71859,0.56935,0.000200444,0.000200444,0.000200444,D:\OBM\CODES\AutoSEG\runs\detect\train188\results.csv
4,47.0522,4.75358,1.2553,1.25625,0.13318,0.11807,0.06149,0.01664,5.74646,36.638,1.29311,0.0456,0.00109998,0.00109998,D:\OBM\CODES\AutoSEG\runs\detect\train189\results.csv
